Algoritmo,TamMatriz,Hilos,Repeticion,Tiempo_microsegundos
mmClasicaFork,3,2,11,352
mmClasicaFork,3,2,12,458
mmClasicaFork,3,2,13,2498
mmClasicaFork,3,2,14,374
mmClasicaFork,3,2,15,333
mmClasicaFork,3,2,16,433
mmClasicaFork,3,2,17,400
mmClasicaFork,3,2,18,413
mmClasicaFork,3,2,19,824
mmClasicaFork,3,2,20,672
mmClasicaFork,3,2,21,628
mmClasicaFork,3,2,22,696
mmClasicaFork,3,2,23,541
mmClasicaFork,3,2,24,541
mmClasicaFork,3,2,25,337
mmClasicaFork,3,2,26,418
mmClasicaFork,3,2,27,354
mmClasicaFork,3,2,28,426
mmClasicaFork,3,2,29,530
mmClasicaFork,3,2,30,503
mmClasicaFork,3,4,1,535
mmClasicaFork,3,4,2,606
mmClasicaFork,3,4,3,553
mmClasicaFork,3,4,4,634
mmClasicaFork,3,4,5,689
mmClasicaFork,3,4,6,629
mmClasicaFork,3,4,7,847
mmClasicaFork,3,4,8,1186
mmClasicaFork,3,4,9,1852
mmClasicaFork,3,4,10,530
mmClasicaFork,3,4,11,637
mmClasicaFork,3,4,12,613
mmClasicaFork,3,4,13,1379
mmClasicaFork,3,4,14,604
mmClasicaFork,3,4,15,477
mmClasicaFork,3,4,16,535
mmClasicaFork,3,4,17,684
mmClasicaFork,3,4,18,697
mmClasicaFork,3,4,19,456
mmClasicaFork,3,4,20,584
mmClasicaFork,3,4,21,591
mmClasicaFork,3,4,22,503
mmClasicaFork,3,4,23,513
mmClasicaFork,3,4,24,581
mmClasicaFork,3,4,25,523
mmClasicaFork,3,4,26,546
mmClasicaFork,3,4,27,666
mmClasicaFork,3,4,28,512
mmClasicaFork,3,4,29,1468
mmClasicaFork,3,4,30,1856
mmClasicaFork,3,8,1,1083
mmClasicaFork,3,8,2,1046
mmClasicaFork,3,8,3,992
mmClasicaFork,3,8,4,961
mmClasicaFork,3,8,5,1030
mmClasicaFork,3,8,6,955
mmClasicaFork,3,8,7,1289
mmClasicaFork,3,8,8,1622
mmClasicaFork,3,8,9,1185
mmClasicaFork,3,8,10,926
mmClasicaFork,3,8,11,1134
mmClasicaFork,3,8,12,1003
mmClasicaFork,3,8,13,1327
mmClasicaFork,3,8,14,1036
mmClasicaFork,3,8,15,2109
mmClasicaFork,3,8,16,1220
mmClasicaFork,3,8,17,2784
mmClasicaFork,3,8,18,1761
mmClasicaFork,3,8,19,2345
mmClasicaFork,3,8,20,1281
mmClasicaFork,3,8,21,1104
mmClasicaFork,3,8,22,1623
mmClasicaFork,3,8,23,1612
mmClasicaFork,3,8,24,993
mmClasicaFork,3,8,25,828
mmClasicaFork,3,8,26,952
mmClasicaFork,3,8,27,1105
mmClasicaFork,3,8,28,947
mmClasicaFork,3,8,29,1037
mmClasicaFork,3,8,30,1186
mmClasicaFork,4,1,1,788
mmClasicaFork,4,1,2,756
mmClasicaFork,4,1,3,774
mmClasicaFork,4,1,4,726
mmClasicaFork,4,1,5,342
mmClasicaFork,4,1,6,273
mmClasicaFork,4,1,7,415
mmClasicaFork,4,1,8,439
mmClasicaFork,4,1,9,287
mmClasicaFork,4,1,10,247
mmClasicaFork,4,1,11,499
mmClasicaFork,4,1,12,487
mmClasicaFork,4,1,13,396
mmClasicaFork,4,1,14,296
mmClasicaFork,4,1,15,300
mmClasicaFork,4,1,16,347
mmClasicaFork,4,1,17,306
mmClasicaFork,4,1,18,286
mmClasicaFork,4,1,19,284
mmClasicaFork,4,1,20,376
mmClasicaFork,4,1,21,355
mmClasicaFork,4,1,22,295
mmClasicaFork,4,1,23,284
mmClasicaFork,4,1,24,352
mmClasicaFork,4,1,25,320
mmClasicaFork,4,1,26,298
mmClasicaFork,4,1,27,284
mmClasicaFork,4,1,28,312
mmClasicaFork,4,1,29,286
mmClasicaFork,4,1,30,284
mmClasicaFork,4,2,1,423
mmClasicaFork,4,2,2,385
mmClasicaFork,4,2,3,403
mmClasicaFork,4,2,4,391
mmClasicaFork,4,2,5,362
mmClasicaFork,4,2,6,409
mmClasicaFork,4,2,7,392
mmClasicaFork,4,2,8,343
mmClasicaFork,4,2,9,376
mmClasicaFork,4,2,10,409
mmClasicaFork,4,2,11,358
mmClasicaFork,4,2,12,338
mmClasicaFork,4,2,13,563
mmClasicaFork,4,2,14,387
