Algoritmo,TamMatriz,Hilos,Repeticion,Tiempo_microsegundos
mmClasicaPosix,3,2,3,260
mmClasicaPosix,3,2,4,256
mmClasicaPosix,3,2,5,361
mmClasicaPosix,3,2,6,266
mmClasicaPosix,3,2,7,244
mmClasicaPosix,3,2,8,392
mmClasicaPosix,3,2,9,258
mmClasicaPosix,3,2,10,247
mmClasicaPosix,3,2,11,344
mmClasicaPosix,3,2,12,1224
mmClasicaPosix,3,2,13,311
mmClasicaPosix,3,2,14,325
mmClasicaPosix,3,2,15,275
mmClasicaPosix,3,2,16,300
mmClasicaPosix,3,2,17,597
mmClasicaPosix,3,2,18,472
mmClasicaPosix,3,2,19,643
mmClasicaPosix,3,2,20,299
mmClasicaPosix,3,2,21,450
mmClasicaPosix,3,2,22,266
mmClasicaPosix,3,2,23,304
mmClasicaPosix,3,2,24,263
mmClasicaPosix,3,2,25,259
mmClasicaPosix,3,2,26,243
mmClasicaPosix,3,2,27,288
mmClasicaPosix,3,2,28,256
mmClasicaPosix,3,2,29,256
mmClasicaPosix,3,2,30,285
mmClasicaPosix,3,4,1,272
mmClasicaPosix,3,4,2,297
mmClasicaPosix,3,4,3,310
mmClasicaPosix,3,4,4,301
mmClasicaPosix,3,4,5,811
mmClasicaPosix,3,4,6,322
mmClasicaPosix,3,4,7,1107
mmClasicaPosix,3,4,8,292
mmClasicaPosix,3,4,9,462
mmClasicaPosix,3,4,10,627
mmClasicaPosix,3,4,11,1005
mmClasicaPosix,3,4,12,470
mmClasicaPosix,3,4,13,397
mmClasicaPosix,3,4,14,380
mmClasicaPosix,3,4,15,460
mmClasicaPosix,3,4,16,346
mmClasicaPosix,3,4,17,479
mmClasicaPosix,3,4,18,360
mmClasicaPosix,3,4,19,514
mmClasicaPosix,3,4,20,312
mmClasicaPosix,3,4,21,332
mmClasicaPosix,3,4,22,346
mmClasicaPosix,3,4,23,318
mmClasicaPosix,3,4,24,322
mmClasicaPosix,3,4,25,559
mmClasicaPosix,3,4,26,509
mmClasicaPosix,3,4,27,326
mmClasicaPosix,3,4,28,290
mmClasicaPosix,3,4,29,344
mmClasicaPosix,3,4,30,363
mmClasicaPosix,3,8,1,564
mmClasicaPosix,3,8,2,387
mmClasicaPosix,3,8,3,469
mmClasicaPosix,3,8,4,456
mmClasicaPosix,3,8,5,448
mmClasicaPosix,3,8,6,558
mmClasicaPosix,3,8,7,814
mmClasicaPosix,3,8,8,1619
mmClasicaPosix,3,8,9,758
mmClasicaPosix,3,8,10,822
mmClasicaPosix,3,8,11,807
mmClasicaPosix,3,8,12,847
mmClasicaPosix,3,8,13,476
mmClasicaPosix,3,8,14,448
mmClasicaPosix,3,8,15,408
mmClasicaPosix,3,8,16,443
mmClasicaPosix,3,8,17,435
mmClasicaPosix,3,8,18,398
mmClasicaPosix,3,8,19,475
mmClasicaPosix,3,8,20,407
mmClasicaPosix,3,8,21,456
mmClasicaPosix,3,8,22,471
mmClasicaPosix,3,8,23,448
mmClasicaPosix,3,8,24,418
mmClasicaPosix,3,8,25,426
mmClasicaPosix,3,8,26,437
mmClasicaPosix,3,8,27,413
mmClasicaPosix,3,8,28,664
mmClasicaPosix,3,8,29,392
mmClasicaPosix,3,8,30,511
mmClasicaPosix,4,1,1,236
mmClasicaPosix,4,1,2,247
mmClasicaPosix,4,1,3,223
mmClasicaPosix,4,1,4,222
