Algoritmo,TamMatriz,Hilos,Repeticion,Tiempo_microsegundos
mmClasicaOpenMP,3,1,18,5
mmClasicaOpenMP,3,1,19,3
mmClasicaOpenMP,3,1,20,5
mmClasicaOpenMP,3,1,21,2
mmClasicaOpenMP,3,1,22,2
mmClasicaOpenMP,3,1,23,2
mmClasicaOpenMP,3,1,24,4
mmClasicaOpenMP,3,1,25,3
mmClasicaOpenMP,3,1,26,3
mmClasicaOpenMP,3,1,27,2
mmClasicaOpenMP,3,1,28,3
mmClasicaOpenMP,3,1,29,4
mmClasicaOpenMP,3,1,30,3
mmClasicaOpenMP,3,2,1,57
mmClasicaOpenMP,3,2,2,58
mmClasicaOpenMP,3,2,3,66
mmClasicaOpenMP,3,2,4,65
mmClasicaOpenMP,3,2,5,74
mmClasicaOpenMP,3,2,6,66
mmClasicaOpenMP,3,2,7,55
mmClasicaOpenMP,3,2,8,57
mmClasicaOpenMP,3,2,9,2680
mmClasicaOpenMP,3,2,10,148
mmClasicaOpenMP,3,2,11,62
mmClasicaOpenMP,3,2,12,55
mmClasicaOpenMP,3,2,13,61
mmClasicaOpenMP,3,2,14,55
mmClasicaOpenMP,3,2,15,58
mmClasicaOpenMP,3,2,16,60
mmClasicaOpenMP,3,2,17,208
mmClasicaOpenMP,3,2,18,52
mmClasicaOpenMP,3,2,19,66
mmClasicaOpenMP,3,2,20,179
mmClasicaOpenMP,3,2,21,68
mmClasicaOpenMP,3,2,22,86
mmClasicaOpenMP,3,2,23,68
mmClasicaOpenMP,3,2,24,51
mmClasicaOpenMP,3,2,25,90
mmClasicaOpenMP,3,2,26,55
mmClasicaOpenMP,3,2,27,58
mmClasicaOpenMP,3,2,28,58
mmClasicaOpenMP,3,2,29,60
mmClasicaOpenMP,3,2,30,64
mmClasicaOpenMP,3,4,1,1481
mmClasicaOpenMP,3,4,2,4816
mmClasicaOpenMP,3,4,3,5638
mmClasicaOpenMP,3,4,4,5046
mmClasicaOpenMP,3,4,5,5372
mmClasicaOpenMP,3,4,6,2518
mmClasicaOpenMP,3,4,7,4753
mmClasicaOpenMP,3,4,8,3261
mmClasicaOpenMP,3,4,9,3127
mmClasicaOpenMP,3,4,10,3532
mmClasicaOpenMP,3,4,11,117
mmClasicaOpenMP,3,4,12,101
mmClasicaOpenMP,3,4,13,103
mmClasicaOpenMP,3,4,14,109
mmClasicaOpenMP,3,4,15,3207
mmClasicaOpenMP,3,4,16,110
mmClasicaOpenMP,3,4,17,102
mmClasicaOpenMP,3,4,18,4658
mmClasicaOpenMP,3,4,19,140
mmClasicaOpenMP,3,4,20,2260
mmClasicaOpenMP,3,4,21,2585
mmClasicaOpenMP,3,4,22,1770
mmClasicaOpenMP,3,4,23,3207
mmClasicaOpenMP,3,4,24,3132
mmClasicaOpenMP,3,4,25,4699
mmClasicaOpenMP,3,4,26,1897
mmClasicaOpenMP,3,4,27,2331
mmClasicaOpenMP,3,4,28,2363
mmClasicaOpenMP,3,4,29,2257
mmClasicaOpenMP,3,4,30,4988
mmClasicaOpenMP,3,8,1,268
mmClasicaOpenMP,3,8,2,410
mmClasicaOpenMP,3,8,3,263
mmClasicaOpenMP,3,8,4,314
mmClasicaOpenMP,3,8,5,238
mmClasicaOpenMP,3,8,6,248
mmClasicaOpenMP,3,8,7,384
mmClasicaOpenMP,3,8,8,1238
mmClasicaOpenMP,3,8,9,244
mmClasicaOpenMP,3,8,10,2063
mmClasicaOpenMP,3,8,11,410
mmClasicaOpenMP,3,8,12,263
mmClasicaOpenMP,3,8,13,714
mmClasicaOpenMP,3,8,14,280
mmClasicaOpenMP,3,8,15,242
mmClasicaOpenMP,3,8,16,298
mmClasicaOpenMP,3,8,17,283
mmClasicaOpenMP,3,8,18,310
mmClasicaOpenMP,3,8,19,289
mmClasicaOpenMP,3,8,20,307
mmClasicaOpenMP,3,8,21,240
mmClasicaOpenMP,3,8,22,220
mmClasicaOpenMP,3,8,23,379
mmClasicaOpenMP,3,8,24,361
mmClasicaOpenMP,3,8,25,279
mmClasicaOpenMP,3,8,26,236
mmClasicaOpenMP,3,8,27,770
mmClasicaOpenMP,3,8,28,300
mmClasicaOpenMP,3,8,29,278
mmClasicaOpenMP,3,8,30,2160
mmClasicaOpenMP,4,1,1,3
mmClasicaOpenMP,4,1,2,3
mmClasicaOpenMP,4,1,3,4
mmClasicaOpenMP,4,1,4,3
mmClasicaOpenMP,4,1,5,2
mmClasicaOpenMP,4,1,6,2
mmClasicaOpenMP,4,1,7,4
mmClasicaOpenMP,4,1,8,4
mmClasicaOpenMP,4,1,9,3
mmClasicaOpenMP,4,1,10,3
mmClasicaOpenMP,4,1,11,3
mmClasicaOpenMP,4,1,12,2
mmClasicaOpenMP,4,1,13,3
mmClasicaOpenMP,4,1,14,2
mmClasicaOpenMP,4,1,15,2
mmClasicaOpenMP,4,1,16,3
mmClasicaOpenMP,4,1,17,4
mmClasicaOpenMP,4,1,18,2
mmClasicaOpenMP,4,1,19,2
mmClasicaOpenMP,4,1,20,3
mmClasicaOpenMP,4,1,21,3
mmClasicaOpenMP,4,1,22,5
mmClasicaOpenMP,4,1,23,3
mmClasicaOpenMP,4,1,24,2
mmClasicaOpenMP,4,1,25,3
mmClasicaOpenMP,4,1,26,8
mmClasicaOpenMP,4,1,27,10
mmClasicaOpenMP,4,1,28,4
mmClasicaOpenMP,4,1,29,3
mmClasicaOpenMP,4,1,30,3
mmClasicaOpenMP,4,2,1,71
mmClasicaOpenMP,4,2,2,81
mmClasicaOpenMP,4,2,3,80
mmClasicaOpenMP,4,2,4,83
mmClasicaOpenMP,4,2,5,65
mmClasicaOpenMP,4,2,6,55
mmClasicaOpenMP,4,2,7,51
mmClasicaOpenMP,4,2,8,58
mmClasicaOpenMP,4,2,9,62
mmClasicaOpenMP,4,2,10,63
mmClasicaOpenMP,4,2,11,55
mmClasicaOpenMP,4,2,12,58
mmClasicaOpenMP,4,2,13,53
mmClasicaOpenMP,4,2,14,75
mmClasicaOpenMP,4,2,15,1555
mmClasicaOpenMP,4,2,16,59
mmClasicaOpenMP,4,2,17,68
mmClasicaOpenMP,4,2,18,67
mmClasicaOpenMP,4,2,19,58
mmClasicaOpenMP,4,2,20,56
mmClasicaOpenMP,4,2,21,61
mmClasicaOpenMP,4,2,22,62
mmClasicaOpenMP,4,2,23,58
mmClasicaOpenMP,4,2,24,52
mmClasicaOpenMP,4,2,25,73
mmClasicaOpenMP,4,2,26,51
mmClasicaOpenMP,4,2,27,60
mmClasicaOpenMP,4,2,28,52
mmClasicaOpenMP,4,2,29,50
mmClasicaOpenMP,4,2,30,49
mmClasicaOpenMP,4,4,1,3206
mmClasicaOpenMP,4,4,2,130
mmClasicaOpenMP,4,4,3,110
mmClasicaOpenMP,4,4,4,111
mmClasicaOpenMP,4,4,5,120
mmClasicaOpenMP,4,4,6,3112
mmClasicaOpenMP,4,4,7,2228
mmClasicaOpenMP,4,4,8,4695
mmClasicaOpenMP,4,4,9,1655
mmClasicaOpenMP,4,4,10,109
mmClasicaOpenMP,4,4,11,121
mmClasicaOpenMP,4,4,12,120
mmClasicaOpenMP,4,4,13,102
mmClasicaOpenMP,4,4,14,103
mmClasicaOpenMP,4,4,15,102
mmClasicaOpenMP,4,4,16,303
mmClasicaOpenMP,4,4,17,2184
mmClasicaOpenMP,4,4,18,153
mmClasicaOpenMP,4,4,19,4075
mmClasicaOpenMP,4,4,20,140
